FIRST_NAME,LAST_NAME,BIRTH,TERM_START_DATE,age
Theodore,Roosevelt,1858-10-27,1901-09-14,42
"John F.",Kennedy,1917-05-29,1961-01-20,43
"William J.",Clinton,1946-08-19,1993-01-20,46
"Ulysses S.",Grant,1822-04-27,1869-03-04,46
"Barack H.",Obama,1961-08-04,2009-01-20,47
Grover,Cleveland,1837-03-18,1885-03-04,47
Franklin,Pierce,1804-11-23,1853-03-04,48
"James K.",Polk,1795-11-02,1845-03-04,49
"James A.",Garfield,1831-11-19,1881-03-04,49
Millard,Fillmore,1800-01-07,1850-07-09,50
"Franklin D.",Roosevelt,1882-01-30,1933-03-04,51
John,Tyler,1790-03-29,1841-04-04,51
Calvin,Coolidge,1872-07-04,1923-08-02,51
"William H.",Taft,1857-09-15,1909-03-04,51
"Chester A.",Arthur,1829-10-05,1881-09-09,51
"James E.",Carter,1924-10-01,1977-01-20,52
Abraham,Lincoln,1809-02-12,1861-03-04,52
"George W.",Bush,1946-07-06,2001-01-20,54
Martin,"Van Buren",1782-12-05,1837-03-04,54
"Herbert C.",Hoover,1874-08-10,1929-03-04,54
William,McKinley,1843-01-29,1897-03-04,54
"Rutherford B.",Hayes,1822-10-04,1877-03-04,54
Benjamin,Harrison,1833-08-20,1889-03-04,55
Grover,Cleveland,1837-03-18,1893-03-04,55
"Warren G.",Harding,1865-11-02,1921-03-04,55
"Lyndon B.",Johnson,1908-08-27,1963-11-22,55
Woodrow,Wilson,1856-12-19,1913-03-04,56
Andrew,Johnson,1808-12-29,1865-04-15,56
"Richard M.",Nixon,1913-01-09,1969-01-20,56
"John Quincy",Adams,1767-07-11,1825-03-04,57
James,Madison,1751-03-16,1809-03-04,57
George,Washington,1732-02-22,1789-07-01,57
Thomas,Jefferson,1743-04-13,1801-03-04,57
James,Monroe,1758-04-28,1817-03-04,58
"Harry S",Truman,1884-05-08,1945-04-12,60
Andrew,Jackson,1767-03-15,1829-03-04,61
"Gerald R.",Ford,1913-07-14,1974-08-09,61
John,Adams,1735-10-30,1797-03-04,61
"Dwight D.",Eisenhower,1890-10-14,1953-01-20,62
Zachary,Taylor,1784-11-24,1849-03-04,64
"George H.W.",Bush,1924-06-12,1989-01-20,64
James,Buchanan,1791-04-23,1857-03-04,65
"William H.",Harrison,1773-02-09,1841-03-04,68
"Ronald W.",Reagan,1911-02-06,1981-01-20,69
